symbol,price,date
ETHBTC,0.075139,2022-04-05 20:16:56
LTCBTC,0.002713,2022-04-05 20:16:56
BNBBTC,0.009789,2022-04-05 20:16:56
NEOBTC,0.000571,2022-04-05 20:16:56
QTUMETH,0.002309,2022-04-05 20:16:56
EOSETH,0.000811,2022-04-05 20:16:56
SNTETH,2.102e-05,2022-04-05 20:16:56
BNTETH,0.000786,2022-04-05 20:16:56
BCCBTC,0.079081,2022-04-05 20:16:56
GASBTC,0.0001222,2022-04-05 20:16:56
BNBETH,0.1303,2022-04-05 20:16:56
BTCUSDT,45873.96,2022-04-05 20:16:56
ETHUSDT,3447.17,2022-04-05 20:16:56
HSRBTC,0.000414,2022-04-05 20:16:56
OAXETH,0.0001778,2022-04-05 20:16:56
DNTETH,2.801e-05,2022-04-05 20:16:56
MCOETH,0.005772,2022-04-05 20:16:56
ICNETH,0.001663,2022-04-05 20:16:56
MCOBTC,0.0002114,2022-04-05 20:16:56
WTCBTC,1.262e-05,2022-04-05 20:16:56
WTCETH,0.000237,2022-04-05 20:16:56
LRCBTC,2.46e-05,2022-04-05 20:16:56
LRCETH,0.00032767,2022-04-05 20:16:56
QTUMBTC,0.0001734,2022-04-05 20:16:56
YOYOBTC,8e-08,2022-04-05 20:16:56
OMGBTC,0.000121,2022-04-05 20:16:56
OMGETH,0.001612,2022-04-05 20:16:56
ZRXBTC,1.786e-05,2022-04-05 20:16:56
ZRXETH,0.0002379,2022-04-05 20:16:56
STRATBTC,3.085e-05,2022-04-05 20:16:56
STRATETH,0.001053,2022-04-05 20:16:56
SNGLSBTC,1.3e-07,2022-04-05 20:16:56
SNGLSETH,5.306e-05,2022-04-05 20:16:56
BQXBTC,8.703e-05,2022-04-05 20:16:56
BQXETH,0.0012635,2022-04-05 20:16:56
KNCBTC,6.658e-05,2022-04-05 20:16:56
KNCETH,0.0008885,2022-04-05 20:16:56
FUNBTC,2.9e-07,2022-04-05 20:16:56
FUNETH,3.46e-06,2022-04-05 20:16:56
SNMBTC,3.77e-06,2022-04-05 20:16:56
SNMETH,4.986e-05,2022-04-05 20:16:56
NEOETH,0.0076,2022-04-05 20:16:56
IOTABTC,1.811e-05,2022-04-05 20:16:56
IOTAETH,0.0002412,2022-04-05 20:16:56
LINKBTC,0.0003704,2022-04-05 20:16:56
LINKETH,0.004929,2022-04-05 20:16:56
XVGBTC,2.8e-07,2022-04-05 20:16:56
XVGETH,3.76e-06,2022-04-05 20:16:56
SALTBTC,4.25e-05,2022-04-05 20:16:56
SALTETH,0.001138,2022-04-05 20:16:56
MDABTC,1.006e-05,2022-04-05 20:16:56
MDAETH,0.0018115,2022-04-05 20:16:56
MTLBTC,4.283e-05,2022-04-05 20:16:56
MTLETH,0.0005714,2022-04-05 20:16:56
SUBBTC,4.57e-06,2022-04-05 20:16:56
SUBETH,0.00012334,2022-04-05 20:16:56
EOSBTC,6.09e-05,2022-04-05 20:16:56
SNTBTC,1.58e-06,2022-04-05 20:16:56
ETCETH,0.01316,2022-04-05 20:16:56
ETCBTC,0.000989,2022-04-05 20:16:56
MTHBTC,2.3e-07,2022-04-05 20:16:56
MTHETH,4.135e-05,2022-04-05 20:16:56
ENGBTC,6.2e-05,2022-04-05 20:16:56
ENGETH,0.0018648,2022-04-05 20:16:56
DNTBTC,2.63e-06,2022-04-05 20:16:56
ZECBTC,0.003653,2022-04-05 20:16:56
ZECETH,0.04869,2022-04-05 20:16:56
BNTBTC,5.897e-05,2022-04-05 20:16:56
ASTBTC,3.91e-06,2022-04-05 20:16:56
ASTETH,6.96e-05,2022-04-05 20:16:56
DASHBTC,0.002818,2022-04-05 20:16:56
DASHETH,0.0375,2022-04-05 20:16:56
OAXBTC,2.75e-06,2022-04-05 20:16:56
ICNBTC,5.742e-05,2022-04-05 20:16:56
BTGBTC,0.000908,2022-04-05 20:16:56
BTGETH,0.052745,2022-04-05 20:16:56
EVXBTC,2.74e-06,2022-04-05 20:16:56
EVXETH,0.0006249,2022-04-05 20:16:56
REQBTC,6.12e-06,2022-04-05 20:16:56
REQETH,4.995e-05,2022-04-05 20:16:56
VIBBTC,7.9e-07,2022-04-05 20:16:56
VIBETH,1.06e-05,2022-04-05 20:16:56
HSRETH,0.012474,2022-04-05 20:16:56
TRXBTC,1.53e-06,2022-04-05 20:16:56
TRXETH,2.03e-05,2022-04-05 20:16:56
POWRBTC,1.304e-05,2022-04-05 20:16:56
POWRETH,0.0001737,2022-04-05 20:16:56
ARKBTC,2.51e-05,2022-04-05 20:16:56
ARKETH,0.001046,2022-04-05 20:16:56
